,Video
0,Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack
1,Justin Bieber - Sorry (PURPOSE : The Movement)
2,Maroon 5 - Sugar
3,Major Lazer & DJ Snake - Lean On (feat. MØ) (Official Music Video)
4,Adele - Hello
5,Justin Bieber - What Do You Mean?
6,Ellie Goulding - Love Me Like You Do (Official Video)
7,Alan Walker - Faded
8,Fifth Harmony - Worth It ft. Kid Ink
9,Silentó - Watch Me (Whip/Nae Nae) (Official)
10,Drake - Hotline Bling
11,Justin Bieber - Love Yourself (PURPOSE : The Movement)
12,twenty one pilots: Stressed Out [OFFICIAL VIDEO]
13,The Weeknd - The Hills
14,Calvin Harris & Disciples - How Deep Is Your Love
15,"David Guetta - Hey Mama (Official Video) ft Nicki Minaj, Bebe Rexha & Afrojack"
16,Taylor Swift - Bad Blood ft. Kendrick Lamar
17,Joey Montana - Picky
18,21. El Perdón - Nicky Jam y Enrique Iglesias [Official Music Video YTMAs]
19,Ricky Martin - La Mordidita (Official Video) ft. Yotuel
20,Gente de Zona - La Gozadera (Official Video) ft. Marc Anthony
21,"Skrillex and Diplo - ""Where Are Ü Now"" with Justin Bieber (Official Video)"
22,Shawn Mendes - Stitches (Official Video)
23,Sia - Elastic Heart feat. Shia LaBeouf & Maddie Ziegler (Official Video)
24,The Weeknd - Can't Feel My Face
25,OMI - Cheerleader (Felix Jaehn Remix) [Official Video]
26,Maluma - Borro Cassette (Official Video)
27,Coldplay - Adventure Of A Lifetime (Official Video)
28,Ariana Grande - Focus
29,J. Balvin - Ginza
30,One Direction - Drag Me Down (Official Video)
31,"Cali Y El Dandee - Por Fin Te Encontré ft. Juan Magan, Sebastian Yatra"
32,Lukas Graham - 7 Years [OFFICIAL MUSIC VIDEO]
33,Chino & Nacho - Me Voy Enamorando (Remix) ft. Farruko
34,twenty one pilots: Ride (Video)
35,Ed Sheeran - Photograph (Official Music Video)
36,Saad Lamjarred - LM3ALLEM (Exclusive Music Video) | (سعد لمجرد - لمعلم (فيديو كليب حصري
37,Omarion Ft. Chris Brown & Jhene Aiko - Post To Be (Official Video)
38,Taylor Swift - Wildest Dreams
39,Post Malone - White Iverson
40,Charlie Puth - Marvin Gaye ft. Meghan Trainor [Official Video]
41,Zara Larsson - Lush Life
42,R. City - Locked Away ft. Adam Levine
43,Taylor Swift - Style
44,Charlie Puth - One Call Away [Official Video]
