,Video
107,ขอเวลาลืม - Aun Feeble heart Feat. Ouiai - [official Lyric]
108,Sia - Cheap Thrills (Performance Edit)
109,[OFFICIAL VIDEO] Hallelujah - Pentatonix
110,One Direction - History (Official Video)
111,DRAM - Broccoli feat. Lil Yachty (Official Music Video)
112,Pusho - Te Fuiste ft. Ozuna
113,Marshmello - Keep it Mello ft. Omar LinX (Official Music Video)
114,Hasta El Amanecer - Adexe & Nau (Nicky Jam Cover)
115,QUE CARO ESTOY PAGANDO - Los Plebes del Rancho de Ariel Camacho (Video Oficial) | DEL Records
116,Kungs vs Cookin’ on 3 Burners - This Girl
117,Little Mix - Hair (Official Video) ft. Sean Paul
118,BTS (방탄소년단) '피 땀 눈물 (Blood Sweat & Tears)' Official MV
119,Little Mix - Shout Out to My Ex (Official Video)
120,Sim Ou Não - Anitta Feat Maluma
121,Calibre 50 - Siempre Te Voy A Querer
122,MC Livinho - Cheia de Marra (KondZilla)
123,Mahmut Orhan - Feel feat. Sena Sener (Official Video)
124,MC Kevinho - Tumbalatum (KondZilla)
125,Khalid - Location (Official Video)
126,Yandel - Nunca Me Olvides (Official Video)
127,Jonas Blue - Fast Car ft. Dakota
128,Desiigner - Panda
129,Laila Main Laila | Raees | Shah Rukh Khan | Sunny Leone | Pawni Pandey | Ram Sampath
130,The Chainsmokers - Closer (Video) ft. Halsey
131,"TWICE ""CHEER UP"" M/V"
132,Calum Scott - Dancing On My Own
133,Farruko - Obsesionado (Official Video)
134,Matheus & Kauan - Te Assumi Pro Brasil – Na Praia 2 / Ao Vivo
135,BANDA MS - TENGO QUE COLGAR (VIDEO OFICIAL)
136,Beyoncé - Sorry (Video)
137,"Young M.A ""OOOUUU"" (Official Video)"
138,Gece Gölgenin Rahatına Bak - Çağatay Akman (Official Video)
139,Reik - Ya Me Enteré (Official Video)
140,คนมีเสน่ห์ - ป้าง นครินทร์「Official MV」
141,Calvin Harris - My Way (Official Video)
142,Selena Gomez - Hands To Myself
143,คำว่าฮักกัน มันเหี่ยถิ่มไส - มนต์แคน แก่นคูน【OFFICIAL MV】
144,"""3 Peg Sharry Mann"" (Full Video) | Mista Baaz | Parmish Verma | Latest Punjabi Songs 2016 | T-Series"
145,Kevin Gates - 2 Phones (Official Video)
146,Alexis y Fido - Una En Un Millón - (Video Oficial)
147,"Bebe Rexha - ""No Broken Hearts"" ft. Nicki Minaj (Official Music Video)"
148,"Alok, Bruno Martini feat. Zeeba - Hear Me Now (Official Music Video)"
149,Zara Larsson - Ain't My Fault (Official Video)
150,Post Malone - Go Flex
151,Cosculluela - La Boda [Video Oficial]
152,Virgoun - Surat Cinta Untuk Starla (Official Lyric Video)
153,"Cham Cham Full Video | BAAGHI | Tiger Shroff, Shraddha Kapoor| Meet Bros, Monali Thakur| Sabbir Khan"
154,Fergie - M.I.L.F. $
155,Ozuna - Dile Que Tu Me Quieres
156,"The Humma Song – OK Jaanu | Shraddha Kapoor | Aditya Roy Kapur | A.R. Rahman, Badshah, Tanishk"
157,Florida Georgia Line - H.O.L.Y.
158,Matheus & Kauan - O Nosso Santo Bateu – Na Praia Ao Vivo
159,احمد شيبة - اه لو لعبت يا زهر - و الراقصة الا كوشنير من فيلم اوشن 14 (فيديو كليب)
160,Aminé - Caroline
161,BTS (방탄소년단) 'Save ME' Official MV
162,"Machine Gun Kelly, Camila Cabello - Bad Things"
163,"Jesse & Joy - ""Dueles"" (Official Video)"
164,MC Kekel - Namorar Pra Quê? (KondZilla)
165,Wesley Safadão Part. Matheus e Kauan - Meu Coração Deu Pt [DVD WS Em Casa]
166,Childish Gambino - Redbone (Official Audio)
167,Kehlani - Gangsta (From Suicide Squad: The Album) [Official Video]
168,Felipe Araújo - A Mala é Falsa part. Henrique & Juliano | DVD 1dois3
169,The Breakup Song - Ae Dil Hai Mushkil | Latest Official Song 2016 | Pritam | Arijit I Badshah
170,Shawn Mendes - Mercy
171,Essa Mina É Louca - Anitta Part. Jhama
172,BLACKPINK - '불장난 (PLAYING WITH FIRE)' M/V
173,Nick Jonas - Close ft. Tove Lo
174,Matheus & Kauan - Decide Aí - Na Praia Ao Vivo
175,Ariana Grande - Let Me Love You (Official) ft. Lil Wayne
176,รักกินไม่ได้ - สงกรานต์ รังสรรค์ [Official Lyrics]
177,Porque Me Enamore - (Video Oficial) - Ulices Chaidez y Sus Plebes - Del Records 2016
178,"Hailee Steinfeld, Grey - Starving ft. Zedd"
179,BLACKPINK - '휘파람'(WHISTLE) M/V
180,"Skrillex & Diplo - ""Mind"" feat. Kai (Official Video)"
181,CNCO - Cien (Pseudo Video)
182,คนไม่จำเป็น - Getsunova [Official MV]
183,Kar Gayi Chull - Kapoor & Sons | Sidharth Malhotra | Alia Bhatt | Badshah | Amaal Mallik |Fazilpuria
184,David Guetta ft. Zara Larsson - This One's For You (Music Video) (UEFA EURO 2016™ Official Song)
185,Elenco de Soy Luna - Alas (fin de temporada) ft. Karol Sevilla
186,"Chris Brown - Party (Official Video) ft. Gucci Mane, Usher"
