,Video
0,Luis Fonsi - Despacito ft. Daddy Yankee
1,Ed Sheeran - Shape of You [Official Video]
2,"J Balvin, Willy William - Mi Gente (Official Video)"
3,Maluma - Felices los 4 (Official Video)
4,Natti Natasha ❌ Ozuna - Criminal [Official Video]
5,"Luis Fonsi, Demi Lovato - Échame La Culpa"
6,Bruno Mars - That’s What I Like [Official Video]
7,Dua Lipa - New Rules (Official Music Video)
8,"Becky G, Bad Bunny - Mayores (Official Video)"
9,The Chainsmokers & Coldplay - Something Just Like This (Lyric)
10,Jason Derulo - Swalla (feat. Nicki Minaj & Ty Dolla $ign) (Official Music Video)
11,El Amante - Nicky Jam (Video Oficial) (Álbum Fénix)
12,"Chris Jeday - Ahora Dice (Official Video) ft. J. Balvin, Ozuna, Arcángel"
13,Camila Cabello - Havana (Audio) ft. Young Thug
14,Ed Sheeran - Perfect (Official Music Video)
15,"DJ Khaled - I'm The One ft. Justin Bieber, Quavo, Chance the Rapper, Lil Wayne"
16,"Enrique Iglesias - SUBEME LA RADIO (Official Video) ft. Descemer Bueno, Zion & Lennox"
17,Maluma - Corazón (Official Video) ft. Nego do Borel
18,Wisin - Escápate Conmigo (Official Video) ft. Ozuna
19,Una Lady Como Tú - MTZ Manuel Turizo | Video Oficial
20,ZAYN - Dusk Till Dawn ft. Sia
21,Taylor Swift - Look What You Made Me Do
22,MC Fioti - Bum Bum Tam Tam (KondZilla)
23,J Balvin - Si Tu Novio Te Deja Sola ft. Bad Bunny
24,Ozuna - Se Preparó ( Video Oficial ) | Odisea
25,Ed Sheeran - Shape Of You [Official Lyric Video]
26,Post Malone - Congratulations ft. Quavo
27,Piso 21 - Déjala Que Vuelva (feat. Manuel Turizo) [Video Oficial]
28,Charlie Puth - Attention [Official Video]
29,Ozuna - El Farsante ( Audio Oficial ) | Odisea
30,Sam Smith - Too Good At Goodbyes (Official Video)
31,Imagine Dragons - Thunder
32,"Carlos Vives, Sebastian Yatra - Robarte un Beso (Official Video)"
33,Ozuna - Tu Foto ( Video Oficial ) | Odisea
34,Clean Bandit - Symphony feat. Zara Larsson [Official Video]
35,French Montana - Unforgettable ft. Swae Lee
